,k,QQ,x_b,t,phi_x,F,ReH,ReE,ReHt,dvcs
1125,2.5,1.0,0.4711111111111111,-0.52,105.0,-0.07378028333187103,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1126,2.5,1.0,0.4711111111111111,-0.52,120.0,-0.08004220575094223,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1127,2.5,1.0,0.4711111111111111,-0.52,135.0,-0.0837438628077507,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1128,2.5,1.0,0.4711111111111111,-0.52,150.0,-0.08591103553771973,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1129,2.5,1.0,0.4711111111111111,-0.52,165.0,-0.08705379068851471,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1130,2.5,1.0,0.4711111111111111,-0.52,180.0,-0.08741126954555511,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1131,2.5,1.0,0.4711111111111111,-0.4399999999999999,0.0,0.762693464756012,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1132,2.5,1.0,0.4711111111111111,-0.4399999999999999,15.0,0.5664376616477966,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1133,2.5,1.0,0.4711111111111111,-0.4399999999999999,30.0,0.28222301602363586,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1134,2.5,1.0,0.4711111111111111,-0.4399999999999999,45.0,0.11068083345890045,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1135,2.5,1.0,0.4711111111111111,-0.4399999999999999,60.0,0.022196322679519653,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1136,2.5,1.0,0.4711111111111111,-0.4399999999999999,75.0,-0.023900598287582397,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1137,2.5,1.0,0.4711111111111111,-0.4399999999999999,90.0,-0.04904283583164215,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1138,2.5,1.0,0.4711111111111111,-0.4399999999999999,105.0,-0.06343234330415726,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1139,2.5,1.0,0.4711111111111111,-0.4399999999999999,120.0,-0.07199002802371979,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1140,2.5,1.0,0.4711111111111111,-0.4399999999999999,135.0,-0.07717591524124146,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1141,2.5,1.0,0.4711111111111111,-0.4399999999999999,150.0,-0.08025951683521271,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1142,2.5,1.0,0.4711111111111111,-0.4399999999999999,165.0,-0.08190007507801056,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1143,2.5,1.0,0.4711111111111111,-0.4399999999999999,180.0,-0.08241536468267441,-0.4363992214202881,-0.1446717381477356,-0.24796521663665771,-0.09766095876693726
1144,2.5,1.0,0.4711111111111111,-0.36,0.0,0.40275126695632935,-0.425828218460083,-0.14250627160072327,-0.24236907064914703,-0.09763426333665848
1145,2.5,1.0,0.4711111111111111,-0.36,15.0,0.3461613357067108,-0.425828218460083,-0.14250627160072327,-0.24236907064914703,-0.09763426333665848
1146,2.5,1.0,0.4711111111111111,-0.36,30.0,0.22932761907577515,-0.425828218460083,-0.14250627160072327,-0.24236907064914703,-0.09763426333665848
